WBodyID	WaterBodyName	DataSource	StationID	StationName	Actual_StationID	Actual_Latitude	Actual_Longitude	DEP_WBID	SampleDate	ActivityDepth	DepthUnits	Parameter	Characteristic	Sample_Fraction	Result_Value	Result_Unit	QACode	Result_Comment	Original_Result_Value	Original_Result_Unit
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	Color_apparent_pcu	Apparent Color	Total	20	PCU	""		20	PCU
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	6.19	ug/l	""		6.19	mg/m3
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	chlb_ugl	Chlorophyll b	Total	5.07	ug/l	""		5.07	mg/m3
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	chlc_ugl	Chlorophyll c	Total	22.85	ug/l	""		22.85	mg/m3
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	Depth_ft	Depth	Total	11.4828	ft	""		3.5	m
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	DO_mgl	Dissolved oxygen (DO)	Total	8.8	mg/l	""		8.8	mg/l
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	Lightunderwaterincident_uEin	Light, underwater incident	Total	98	uE/m2/sec	""		98	uE/m2/sec
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	Lightunderwaterincident_uEin	Light, underwater incident	Total	100	uE/m2/sec	""		100	uE/m2/sec
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	Lightunderwaterincident_uEin	Light, underwater incident	Total	105	uE/m2/sec	""		105	uE/m2/sec
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	Lightunderwaterincident_uEin	Light, underwater incident	Total	107	uE/m2/sec	""		107	uE/m2/sec
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	Lightunderwaterincident_uEin	Light, underwater incident	Total	122	uE/m2/sec	""		122	uE/m2/sec
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	TKN_ugl	Nitrogen, Kjeldahl	Total	712	ug/l	""		0.712	mg/l
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	NO3_ugl	Nitrogen, Nitrate (NO3) as N	Total	10	ug/l	""		0.01	mg/l
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	NOx_ugl	Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N	Total	10	ug/l	""		0.01	mg/l
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	pH	pH	Total	8.1	None	""		8.1	None
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	Pheo_ugl	Pheophytin-a	Total	23.92	ug/l	""		23.92	mg/m3
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	TP_ugl	Phosphorus as P	Total	176	ug/l	""		0.176	mg/l
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	Salinity_ppt	Salinity	Total	21	ppt	""		21	ppth
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	Secchi_ft	Secchi disk depth	Total	4.9212	ft	""		1.5	m
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	Cond_umhocm	Specific conductance	Total	40200	umho	""		40200	umho/cm
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	TempW_C	Temperature, water	Total	13	deg C	""		13	deg C
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	TSS_mgl	Total Suspended Solids (TSS)	Total	9.8	mg/l	""		9.8	mg/l
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	Turb_ntu	Turbidity	Total	1.5	NTU	""		1.5	NTU
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	TN_ugl	Nitrogen		722	ug/l	""	Water Institute Calculated		
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	12/28/1995 12:00:00 AM		m	TempW_F	Temperature, water		55.4	deg F	""	Water Institute Calculated		
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	3/20/1996 12:00:00 AM		m	TempW_F	Temperature, water		62.6	deg F	""	Water Institute Calculated		
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	3/20/1996 12:00:00 AM		m	TN_ugl	Nitrogen		432	ug/l	""	Water Institute Calculated		
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	3/20/1996 12:00:00 AM		m	Color_apparent_pcu	Apparent Color	Total	10	PCU	""		10	PCU
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	3/20/1996 12:00:00 AM		m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	1.2	ug/l	""		1.2	mg/m3
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	3/20/1996 12:00:00 AM		m	chlb_ugl	Chlorophyll b	Total	4.88	ug/l	""		4.88	mg/m3
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	3/20/1996 12:00:00 AM		m	chlc_ugl	Chlorophyll c	Total	21.21	ug/l	""		21.21	mg/m3
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	3/20/1996 12:00:00 AM		m	Depth_ft	Depth	Total	9.8424	ft	""		3	m
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	3/20/1996 12:00:00 AM		m	DO_mgl	Dissolved oxygen (DO)	Total	6.8	mg/l	""		6.8	mg/l
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	3/20/1996 12:00:00 AM		m	Lightunderwaterincident_uEin	Light, underwater incident	Total	12	uE/m2/sec	""		12	uE/m2/sec
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	3/20/1996 12:00:00 AM		m	Lightunderwaterincident_uEin	Light, underwater incident	Total	16	uE/m2/sec	""		16	uE/m2/sec
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	3/20/1996 12:00:00 AM		m	Lightunderwaterincident_uEin	Light, underwater incident	Total	18	uE/m2/sec	""		18	uE/m2/sec
20011	Lower Tampa Bay	STORET_21FLMANA	="336"	 336	="336"	27.63999830	-82.55999392	1558BZ	3/20/1996 12:00:00 AM		m	Lightunderwaterincident_uEin	Light, underwater incident	Total	392	uE/m2/sec	""		392	uE/m2/sec
