source,station,lat,lon,comment
esa,SBH1,27°36.383',82°33.973',NA
esa,SBH2,27°36.576',82°33.617',NA
esa,SBH3,27°36.415',82°33.764',NA
esa,SBH4,27°36.475',82°34.033',NA
esa,SPPC1,27°39.762',82°32.617',NA
esa,SPPC2,27°39.905',82°32.708',NA
esa,SCRB1,27°40.581',82°31.072',NA
esa,SCRB2,27°42.378',82°30.248',NA
esa,SCRB3,27°42.279',82°30.377',NA
esa,SMB1,27°34.163',82°36.606',NA
esa,SMB2,27°34.481',82°35.806',NA
esa,SMB3,27°33.811',82°36.390',NA
esa,STCB1,27°33.094',82°36.521',NA
esa,STCB2,27°32.202',82°37.378',NA
esa,STCB3,27°32.477',82°36.334',NA
esa,UF_jbysi,27°35.509',82°35.463',NA
esa,UF_sonde3,27°40.675',82°32.801',NA
esa,SMR1,27°32.028',82°38.810',NA
