Set,Lat,Lon
2021-0409-1,27.5455,-82.6098
2021-0409-2,27.54269,-82.61128
2021-0409-3,27.56915,-82.56806
2021-0409-4,27.57629,-82.56429
2021-0409-5,27.56489,-82.60939
2021-0409-6,27.56128,-82.61069
2021-0409-7,27.55495,-82.5937
2021-0409-8,27.54826,-82.58231
2021-0416-1,27.50307,-82.5693
2021-0416-2,27.51191,-82.5701
2021-0416-3,27.52546,-82.5084
2021-0416-4,27.51966,-82.5054
2021-0416-5,27.52108,-82.6195
2021-0416-6,27.52964,-82.6268
2021-0512-1,27.52723,-82.45943
2021-0512-3,27.51195,-82.51719
2021-0512-4,27.51573,-82.52799
2021-0512-5,27.52394,-82.63692
2021-0513-1,27.54721,-82.62047
2021-0513-2,27.55137,-82.61909
2021-0513-3,27.56651,-82.56912
2021-0513-4,27.56511,-82.56902
2021-0513-5,27.55452,-82.57843
2021-0513-6,27.5496,-82.57991
2021-0513-7,27.53303,-82.60589
2021-0615-1,27.53208,-82.60233
2021-0615-2,27.5374,-82.59185
2021-0616-1,27.53035,-82.46169
2021-0616-3,27.52196,-82.41681
2021-0616-4,27.50887,-82.59966
2021-0616-5,27.56112,-82.60794
2021-0623-1,27.56917,-82.56831
2021-0623-3,27.56534,-82.57833
2021-0623-5,27.51367,-82.61475
2021-0623-6,27.50757,-82.60291
2021-0623-7,27.52299,-82.60857
