source,station,lat,lon,comment
pinco,BP1,27.6966468,-82.515124,visited 20210409
pinco,BP2,27.6986036,-82.5200807,visited 20210409
pinco,CB1,27.5969301,-82.5994258,visited 20210405
pinco,CB2,27.5966766,-82.5962787,visited 20210405
pinco,CB3,27.5966202,-82.5922255,visited 20210405
pinco,CB4,27.5973683,-82.5758245,visited 20210405
pinco,CB5,27.6001599,-82.5799701,visited 20210405
pinco,CB6,27.6007818,-82.5862114,visited 20210405
pinco,CB7,27.6038394,-82.5797226,visited 20210405
pinco,CB8,27.5976517,-82.5859968,visited 20210405
pinco,CR1,27.6861018,-82.5233517,visited 20210409
pinco,CR2,27.6870898,-82.527336,visited 20210409
pinco,JB1,27.5876892,-82.608252,visited 20210405
pinco,JB2,27.5872384,-82.6049301,visited 20210405
pinco,JB3,27.587013,-82.6012266,visited 20210405
pinco,JB4,27.5882401,-82.5945012,visited 20210405
pinco,JB5,27.5899338,-82.5913732,visited 20210405
pinco,JB6,27.592756,-82.5873305,visited 20210405
pinco,LC1,27.7122439,-82.49992,visited 20210409
pinco,LC2,27.7136686,-82.5031506,visited 20210409
pinco,LM1,27.7176708,-82.4805269,visited 20210409
pinco,LM2,27.7201599,-82.4890529,visited 20210409
pinco,MC1,27.612443,-82.629256,visited 20210404
pinco,MC2,27.601053,-82.613389,visited 20210404
pinco,MC3,27.587669,-82.652122,visited 20210404
pinco,MC4,27.573267,-82.63588,visited 20210404
pinco,MC5,27.560375,-82.643627,visited 20210404
pinco,MC6,27.545639,-82.656094,visited 20210404
pinco,PC1,27.642252,-82.660052,visited 20210404
pinco,PC2,27.633041,-82.651548,visited 20210404
pinco,RP1,27.662158,-82.5418628,visited 20210409
pinco,RP2,27.6640585,-82.5451244,visited 20210409
pinco,SCR1,27.6780451,-82.5311983,visited 20210409
pinco,SCR2,27.6788432,-82.5342024,visited 20210409
pinco,PM Out,27.631487,-82.543727,NA
pinco,SC1,27.6780451,-82.5311983,NA
pinco,MC-202,27.665703,-82.559067,NA
pinco,E7-A,27.72306,-82.6212,NA
pinco,E7-B,27.7542,-82.621,NA
pinco,E7-C,27.70455,-82.6226,NA
pinco,E7-D,27.71755,-82.6215,NA
pinco,W8-A,27.65292,-82.694,NA
pinco,W8-B,27.64857,-82.7207,NA
pinco,W8-C,27.65134,-82.7002,NA
pinco,W8-D,27.66779,-82.6994,NA
