"","source","station","lat","lon","comment"
"1","uf","YSI Cockroach",27.674,-82.542,NA
"2","uf","YSI Bishop Harbor",27.606,-82.568,NA
"3","uf","YSI Joe Bay",27.591,-82.591,NA
"5","esa","SBH1",27.606217,-82.566417,NA
"6","esa","SBH2",27.609117,-82.560217,NA
"7","esa","SBH3",27.607133,-82.562383,NA
"8","esa","SPPC1",27.6624,-82.543367,NA
"9","esa","SPPC2",27.665283,-82.545033,NA
"10","esa","Between Piney Pt and Cockroach Bay",27.67496,-82.54671,NA
"11","esa","SCRB3",27.7048,-82.506117,NA
"12","esa","SCRB1",27.676567,-82.5177,NA
"13","uf","TB017",27.666,-82.544,NA
"14","uf","TB019",27.606,-82.568,NA
"15","uf","TB024",27.591,-82.591,NA
"16","sbep","CB-0",27.59394,-82.5741,NA
"17","sbep","CB-2",27.59658,-82.59627,NA
"18","sbep","CB-18",27.59798,-82.57795,NA
"19","sbep","JB-6",27.592756,-82.58733,NA
"20","sbep","JB-2",27.58721,-82.60492,NA
"21","sbep","JB-1",27.587689,-82.608252,NA
"25","sbep","PSB4",27.5023152,-82.6553721,NA
"26","sbep","AMS4",27.48863,-82.70258,NA
"27","sbep","AMS2",27.4811241,-82.6992921,NA
"28","sbep","AMS3",27.492195,-82.6830768,NA
"29","sbep","AMS1",27.481509,-82.6830768,NA
"30","uf","YSI Bishop Harbor",27.606255,-82.56876,NA
"31","uf","YSI Joe Bay",27.591896,-82.591,NA
