source_lng,source,station,lat,lon,comment
USF,usf,NGS-S Pond,27.6248,-82.5239,NA
USF,usf,Shore,27.6427,-82.5582,NA
USF,usf,USF-1,27.7783,-82.5733,NA
USF,usf,USF-10,27.7213,-82.61,NA
USF,usf,USF-2,27.79,-82.5295,NA
USF,usf,USF-3,27.725,-82.5383,NA
USF,usf,USF-4,27.697,-82.5595,NA
USF,usf,USF-5,27.6667,-82.6033,NA
USF,usf,USF-6,27.6333,-82.5633,NA
USF,usf,USF-6B,27.6283,-82.5633,NA
USF,usf,USF-7,27.6317,-82.645,NA
USF,usf,USF-8,27.5499,-82.7073,NA
USF,usf,USF-9,27.6008,-82.7402,NA
USF,usf,USF-A,27.6996,-82.5268,NA
USF,usf,USF-B,27.6558,-82.5576,NA
USF,usf,USF-C,27.6368,-82.5818,NA
USF,usf,USF-D,27.6046,-82.6302,NA
USF,usf,USF-E,27.5446,-82.6649,NA
USF,usf,USF-X,27.6822,-82.5439,NA
USF,usf,USF-Y,27.6029,-82.5956,NA
