"source_lng","source","station","lat","lon"
"City of St. Pete","cosp","COSPE7-A2103",27.72073,-82.61439
"City of St. Pete","cosp","COSPE7-B2103",27.72276,-82.62563
"City of St. Pete","cosp","COSPE7-C2103",27.73329,-82.62064
"City of St. Pete","cosp","COSPE7-D2103",27.74488,-82.61786
"ESA","esa","Between Piney Pt and Cockroach Bay",27.67496,-82.54671
"ESA","esa","SBH1",27.6063833333333,-82.5662166666667
"ESA","esa","SBH2",27.6096,-82.5602833333333
"ESA","esa","SBH3",27.6069166666667,-82.5627333333333
"ESA","esa","SBH4",27.6079166666667,-82.5672166666667
"ESA","esa","SCRB1",27.67635,-82.5178666666667
"ESA","esa","SCRB2",27.7063,-82.5041333333333
"ESA","esa","SCRB3",27.70465,-82.5062833333333
"ESA","esa","SMB1",27.5693833333333,-82.6101
"ESA","esa","SMB2",27.5746833333333,-82.5967666666667
"ESA","esa","SMB3",27.5635166666667,-82.6065
"ESA","esa","SMR1",27.5338,-82.6468333333333
"ESA","esa","SPPC1",27.6627,-82.5436166666667
"ESA","esa","SPPC2",27.6650833333333,-82.5451333333333
"ESA","esa","STCB1",27.5515666666667,-82.6086833333333
"ESA","esa","STCB2",27.5367,-82.6229666666667
"ESA","esa","STCB3",27.5412833333333,-82.6055666666667
"ESA","esa","UF_jbysi",27.5918166666667,-82.59105
"ESA","esa","UF_sonde3",27.6779166666667,-82.5466833333333
"Florida DEP","fldep","P Port 1",27.63488,-82.56319
"Florida DEP","fldep","P Port 2",27.63105,-82.55759
"Florida DEP","fldep","P Port 3",27.63141,-82.54427
"Florida DEP","fldep","P Port 4",27.6454,-82.53695
"Florida DEP","fldep","Piney 1",27.64742,-82.56516
"Florida DEP","fldep","Piney 10",27.572583,-82.629644
"Florida DEP","fldep","Piney 11",27.576508,-82.652494
"Florida DEP","fldep","Piney 12",27.5431,-82.644553
"Florida DEP","fldep","Piney 13",27.552008,-82.6717
"Florida DEP","fldep","Piney 14",27.533,-82.666833
"Florida DEP","fldep","Piney 15",27.545808,-82.70095
"Florida DEP","fldep","Piney 17",27.693399,-82.5559
"Florida DEP","fldep","Piney 18",27.682529,-82.49677
"Florida DEP","fldep","Piney 19",27.723801,-82.5338
"Florida DEP","fldep","Piney 2",27.64948,-82.57845
"Florida DEP","fldep","Piney 20",27.729,-82.4987
"Florida DEP","fldep","Piney 21",27.778,-82.5203
"Florida DEP","fldep","Piney 22",27.781299,-82.4741
"Florida DEP","fldep","Piney 23",27.7764,-82.43873
"Florida DEP","fldep","Piney 3",27.6434,-82.5771
"Florida DEP","fldep","Piney 4",27.6358,-82.5653
"Florida DEP","fldep","Piney 5",27.62852,-82.59193
"Florida DEP","fldep","Piney 6",27.626,-82.5915
"Florida DEP","fldep","Piney 7",27.6625,-82.563904
"Florida DEP","fldep","Piney 8",27.612975,-82.577642
"Florida DEP","fldep","Piney 9",27.605986,-82.601167
"Hillsborough Co.","epchc","16",27.723801,-82.533798
"Hillsborough Co.","epchc","19",27.693399,-82.555901
"Hillsborough Co.","epchc","21",27.6625,-82.563904
"Hillsborough Co.","epchc","21PP01s",27.6933,-82.531517
"Hillsborough Co.","epchc","21PP02s",27.689117,-82.525967
"Hillsborough Co.","epchc","21PP03s",27.663917,-82.547217
"Hillsborough Co.","epchc","21PP04s",27.650017,-82.55575
"Hillsborough Co.","epchc","21PP05s",27.615783,-82.57405
"Hillsborough Co.","epchc","21PP06s",27.60555,-82.56285
"Hillsborough Co.","epchc","21PP07s",27.607367,-82.575533
"Hillsborough Co.","epchc","21PP09s",27.5754,-82.617617
"Hillsborough Co.","epchc","21PP10s",27.57935,-82.63065
"Hillsborough Co.","epchc","21PP20s",27.59725,-82.59205
"Hillsborough Co.","epchc","22",27.608101,-82.571198
"Hillsborough Co.","epchc","23",27.666,-82.599197
"Hillsborough Co.","epchc","24",27.5884,-82.619301
"Hillsborough Co.","epchc","25",27.662701,-82.6679
"Hillsborough Co.","epchc","28",27.708401,-82.6092
"Hillsborough Co.","epchc","82",27.751101,-82.5718
"Hillsborough Co.","epchc","84",27.729,-82.498703
"Hillsborough Co.","epchc","90",27.625999,-82.591499
"Hillsborough Co.","epchc","91",27.627899,-82.641502
"Hillsborough Co.","epchc","92",27.5737,-82.686798
"Hillsborough Co.","epchc","93",27.578899,-82.744102
"Hillsborough Co.","epchc","94",27.610001,-82.783203
"Hillsborough Co.","epchc","95",27.6112,-82.694702
"Hillsborough Co.","epchc","96",27.6378,-82.691002
"Hillsborough Co.","epchc","BP01",27.6966468,-82.515124
"Hillsborough Co.","epchc","C01",27.6861018,-82.5233517
"Hillsborough Co.","epchc","DB01",27.75123529,-82.45987787
"Hillsborough Co.","epchc","EGS01",27.75163659,-82.48450557
"Hillsborough Co.","epchc","LC01",27.7122439,-82.49992
"Hillsborough Co.","epchc","LM01",27.7176708,-82.4805269
"Hillsborough Co.","epchc","MB01",27.5738,-82.6045
"Hillsborough Co.","epchc","MC365",27.61245,-82.6067
"Hillsborough Co.","epchc","MC395",27.56755,-82.5731
"Hillsborough Co.","epchc","MC396",27.59106,-82.6218
"Hillsborough Co.","epchc","MC405",27.55267,-82.5873
"Hillsborough Co.","epchc","MC408",27.54783,-82.5992
"Hillsborough Co.","epchc","MC422",27.55748,-82.6332
"Hillsborough Co.","epchc","MC430",27.52936,-82.60772
"Hillsborough Co.","epchc","MC431",27.5112,-82.5979
"Hillsborough Co.","epchc","MC434",27.51733,-82.6188
"Hillsborough Co.","epchc","RP01",27.662158,-82.5418628
"Hillsborough Co.","epchc","SC01",27.6780451,-82.5311983
"Hillsborough Co.","epchc","WB01",27.76291175,-82.44589849
"Manatee Co.","mpnrd","202",27.665703,-82.559067
"Manatee Co.","mpnrd","336",27.647422,-82.565161
"Manatee Co.","mpnrd","357",27.649478,-82.578453
"Manatee Co.","mpnrd","361",27.628517,-82.591933
"Manatee Co.","mpnrd","362",27.612975,-82.577642
"Manatee Co.","mpnrd","365",27.61119972,-82.60334731
"Manatee Co.","mpnrd","386",27.605986,-82.617833
"Manatee Co.","mpnrd","395",27.567553,-82.573072
"Manatee Co.","mpnrd","396",27.591058,-82.621756
"Manatee Co.","mpnrd","400",27.572583,-82.629644
"Manatee Co.","mpnrd","405",27.552667,-82.587333
"Manatee Co.","mpnrd","408",27.547833,-82.599167
"Manatee Co.","mpnrd","421",27.576508,-82.652494
"Manatee Co.","mpnrd","422",27.557483,-82.633217
"Manatee Co.","mpnrd","425",27.548272,-82.660733
"Manatee Co.","mpnrd","428",27.552008,-82.6717
"Manatee Co.","mpnrd","430",27.527331,-82.609581
"Manatee Co.","mpnrd","431",27.511197,-82.597939
"Manatee Co.","mpnrd","432",27.5431,-82.644553
"Manatee Co.","mpnrd","433",27.520964,-82.632681
"Manatee Co.","mpnrd","434",27.517333,-82.618833
"Manatee Co.","mpnrd","435",27.533,-82.666833
"Manatee Co.","mpnrd","449",27.545808,-82.70095
"Manatee Co.","mpnrd","452",27.541128,-82.717056
"Manatee Co.","mpnrd","455",27.535,-82.731333
"Manatee Co.","mpnrd","456",27.53114983,-82.6841982
"Manatee Co.","mpnrd","458",27.497,-82.656833
"Manatee Co.","mpnrd","459",27.528828,-82.703611
"Manatee Co.","mpnrd","460",27.516708,-82.685317
"Manatee Co.","mpnrd","464",27.49299941,-82.69269937
"Manatee Co.","mpnrd","532",27.50284947,-82.54099843
"Manatee Co.","mpnrd","535",27.503333,-82.5675
"Manatee Co.","mpnrd","587",27.473189,-82.648742
"Manatee Co.","mpnrd","589",27.481503,-82.683075
"Manatee Co.","mpnrd","590",27.46900004,-82.66368327
"Manatee Co.","mpnrd","597",27.41264954,-82.59234624
"Manatee Co.","mpnrd","598",27.43279982,-82.63489699
"Manatee Co.","mpnrd","600",27.418747,-82.605933
"Manatee Co.","mpnrd","604",27.402419,-82.580642
"Manatee Co.","mpnrd","607",27.399042,-82.600517
"Manatee Co.","mpnrd","608",27.380203,-82.592244
"Manatee Co.","mpnrd","658",27.481117,-82.699286
"Manatee Co.","mpnrd","659",27.46324914,-82.68374834
"Manatee Co.","mpnrd","660",27.453319,-82.675222
"Manatee Co.","mpnrd","667",27.437144,-82.660781
"Manatee Co.","mpnrd","668",27.421519,-82.646856
"Manatee Co.","mpnrd","669",27.411167,-82.643167
"Manatee Co.","mpnrd","676",27.39384945,-82.62344951
"Manatee Co.","mpnrd","BH01",27.60949,-82.54345
"Manatee Co.","mpnrd","BH02",27.60739,-82.56236
"Manatee Co.","mpnrd","PM Out",27.631487,-82.543727
"Manatee Co.","mpnrd","PMB01",27.63084,-82.5638
"Manatee Co.","mpnrd","PMB02",27.63403,-82.56072
"Manatee Co.","mpnrd","PMB03",27.63517,-82.56434
"Manatee Co.","mpnrd","PPC41",27.640414,-82.531956
"Manatee Co.","mpnrd","SCI N",27.66504,-82.59946
"Manatee Co.","mpnrd","SCI S",27.65432,-82.6076
"New College Fl.","ncf","2021-0409-1",27.5455,-82.6098
"New College Fl.","ncf","2021-0409-2",27.54269,-82.61128
